class,type,cell,microscope,filename,filetype,filepath,id_file,date,id_scene,pixel_size_z,pixel_size_y,pixel_size_x,id_scene_count,z,y,x,filepath_segmented,bad_segmentation,id_segment,segmented_filename
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-29-Airyscan Processing-80.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-29-Airyscan Processing-80.czi,21,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,57.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-21_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-21_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-30-Airyscan Processing-81.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-30-Airyscan Processing-81.czi,23,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,64.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-23_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-23_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-30-Airyscan Processing-81.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-30-Airyscan Processing-81.czi,23,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,64.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-23_idscene-0.npz,0,1.0,ES_Wildtype_WT_Airyscan_all_idfile-23_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-31-Airyscan Processing-82.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-31-Airyscan Processing-82.czi,24,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,51.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-24_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-24_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-32-Airyscan Processing-83.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-32-Airyscan Processing-83.czi,25,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,77.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-25_idscene-0_one_bad.npz,1,0.0,ES_Wildtype_WT_Airyscan_all_idfile-25_idscene-0_one_bad.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-33-Airyscan Processing-84.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-33-Airyscan Processing-84.czi,26,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,51.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-26_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-26_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-34-Airyscan Processing-87.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-34-Airyscan Processing-87.czi,27,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,54.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-27_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-27_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-35-Airyscan Processing-86.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-35-Airyscan Processing-86.czi,28,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,57.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-28_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-28_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-36-Airyscan Processing-88.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-36-Airyscan Processing-88.czi,29,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,57.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-29_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-29_idscene-0.npz
Wildtype,WT,ES,Airyscan,WT-ES-2i-A3-rCtcf-7X-37-Airyscan Processing-89.czi,czi,data/ES_Wildtype/Airyscan-22.09.23/WT-ES-2i-A3-rCtcf-7X-37-Airyscan Processing-89.czi,30,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,64.0,272.0,272.0,data/segmented/ES_Wildtype_WT_Airyscan_all_idfile-30_idscene-0.npz,0,0.0,ES_Wildtype_WT_Airyscan_all_idfile-30_idscene-0.npz
